230, 51, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
230, 102, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
230, 153, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
230, 204, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
230, 257, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
230, 308, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
230, 359, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 411, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 462, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 514, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 565, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 617, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 668, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 719, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 771, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 823, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 874, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 925, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 977, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 1029, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
230, 1080, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
230, 1131, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
230, 1183, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 1234, ((0.0, 0.0, 0.0), (0.0, 0.0, 0.0)) 
229, 1286, ((-0.38418588042259216, -0.8620948195457458, -0.3304447531700134), (18.02921485900879, 407.3486022949219, 102.96332550048828)) 
229, 1338, ((-0.3347933888435364, -0.8743131756782532, -0.35141125321388245), (-68.79692840576172, 266.7220153808594, -57.062744140625)) 
229, 1389, ((-0.3760025203227997, -0.8556164503097534, -0.35572826862335205), (-52.52183532714844, 146.77671813964844, -39.884971618652344)) 
229, 1440, ((-0.4468880891799927, -0.8369272947311401, -0.3159806728363037), (-17.31859016418457, 64.26763916015625, 3.082087993621826)) 
228, 1492, ((-0.4238421320915222, -0.8545437455177307, -0.3001880347728729), (-17.03648567199707, -14.074246406555176, 1.0506410598754883)) 
229, 1544, ((-0.39308997988700867, -0.8753538727760315, -0.28148871660232544), (-16.24913215637207, -109.75291442871094, -4.5685272216796875)) 
228, 1595, ((-0.3614135682582855, -0.9052829146385193, -0.2232557088136673), (-0.8278834819793701, -209.43963623046875, 29.146865844726562)) 
228, 1646, ((-0.4179712235927582, -0.9084072113037109, -0.009820818901062012), (-78.34254455566406, -231.47836303710938, -16.025062561035156)) 
228, 1698, ((-0.3530544936656952, -0.9341753721237183, -0.051661167293787), (17.555429458618164, -61.12019729614258, 119.13482666015625)) 
227, 1750, ((-0.26038858294487, -0.9572235345840454, -0.12617804110050201), (-40.24279022216797, -192.87481689453125, -9.869453430175781)) 
227, 1801, ((-0.22758202254772186, -0.9638545513153076, -0.13853098452091217), (-71.2930908203125, -139.049072265625, 5.250423908233643)) 
227, 1853, ((-0.16728217899799347, -0.9757770895957947, -0.1409812569618225), (-10.500001907348633, -12.553366661071777, 18.315244674682617)) 
228, 1904, ((-0.14352862536907196, -0.980829119682312, -0.13180941343307495), (4.459523677825928, 63.66001892089844, -52.23868942260742)) 
228, 1955, ((-0.14355532824993134, -0.9867801070213318, -0.07521219551563263), (59.03802490234375, 227.26634216308594, -59.3925666809082)) 
228, 2008, ((-0.24012139439582825, -0.9685401320457458, -0.06535816192626953), (31.160524368286133, 324.7603454589844, -122.75642395019531)) 
227, 2059, ((-0.2855376601219177, -0.9477765560150146, -0.1420837640762329), (137.26368713378906, 401.303466796875, -39.72193145751953)) 
227, 2110, ((-0.2496202439069748, -0.9234834313392639, -0.2913212478160858), (50.815765380859375, 361.2156677246094, -75.6556167602539)) 
227, 2162, ((-0.2471723109483719, -0.8797803521156311, -0.40606945753097534), (14.925897598266602, 302.196044921875, -7.711381435394287)) 
227, 2213, ((-0.2751709520816803, -0.8210803866386414, -0.5001079440116882), (7.588929176330566, 261.587890625, 87.24768829345703)) 
227, 2265, ((-0.3445330858230591, -0.7782754898071289, -0.5249611735343933), (10.203963279724121, 268.6462097167969, 14.566113471984863)) 
227, 2316, ((-0.39217180013656616, -0.7563855648040771, -0.5235285758972168), (-5.18038272857666, 144.20932006835938, 34.90793228149414)) 
227, 2368, ((-0.3873600661754608, -0.7586623430252075, -0.5238164067268372), (-1.3972821235656738, 76.36676788330078, 14.592759132385254)) 
227, 2419, ((-0.39512699842453003, -0.7648307681083679, -0.5088305473327637), (10.080965995788574, 1.5766162872314453, 3.4368133544921875)) 
227, 2470, ((-0.3829400837421417, -0.763719916343689, -0.5197006464004517), (11.130193710327148, -56.44468688964844, 5.046885013580322)) 
227, 2523, ((-0.3516552150249481, -0.7751615047454834, -0.5248459577560425), (-3.3519341945648193, -105.69503784179688, 4.996837139129639)) 
227, 2574, ((-0.3315191864967346, -0.7788402438163757, -0.5324499011039734), (-9.724677085876465, -127.34872436523438, 2.1329076290130615)) 
227, 2625, ((-0.3201308846473694, -0.7916417717933655, -0.520403265953064), (-20.007110595703125, -156.08944702148438, -2.7457215785980225)) 
